model,target_id,n_reps,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,min_total_runtime_sec,max_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,flagged_unstable
af2,T1185s2,3,143.438668,18.911321308524936,0.13184256081160023,132.346153,165.274651,134.13458366666666,2.8008119322629286,0.02088061002390802,False
esmfold,T1137s1,3,64.6403641179689,8.36985616473376,0.1294834315824512,59.67287371899874,74.30376958590932,64.6403641179689,8.36985616473376,0.1294834315824512,False
af2,T1185s1,3,145.07251433333332,18.67001018953684,0.1286943310752768,134.269161,166.630767,135.86111733333334,2.7154949337662866,0.019987285450507947,False
esmfold,T1147,3,45.13963911098108,5.602542748458795,0.12411580727715366,41.677574801993615,51.60343666095287,45.13963911098108,5.602542748458795,0.12411580727715366,False
esmfold,T1114s2,3,59.03551501196853,7.2563109750289945,0.12291433340689738,54.62376975099687,67.4103767639026,59.03551501196853,7.2563109750289945,0.12291433340689738,False
esmfold,T1137s5,3,62.40668275395971,7.646483008938866,0.12252666976524555,57.60732196099707,71.22456417488866,62.40668275395971,7.646483008938866,0.12252666976524555,False
esmfold,T1185s2,3,59.314151478999214,6.92280377389589,0.11671420059590636,55.08140685000399,67.30318220099434,59.314151478999214,6.92280377389589,0.11671420059590636,False
esmfold,T1185s1,3,56.60421886029993,6.443967163452866,0.11384252434181054,52.75073351400352,64.04346557590179,56.60421886029993,6.443967163452866,0.11384252434181054,False
omegafold,T1145,3,360.65236829300557,40.2172113603304,0.11151240057200082,336.7075720330031,407.0835699230083,360.65236829300557,40.2172113603304,0.11151240057200082,False
esmfold,T1134s2,3,54.36196970934543,6.042783644280722,0.11115829092634773,50.26718039200205,61.30219172104262,54.36196970934543,6.042783644280722,0.11115829092634773,False
esmfold,T1272s2,3,57.947853009701554,6.4381347433693055,0.111102213610769,53.90970018399821,65.37244237610139,57.947853009701554,6.4381347433693055,0.111102213610769,False
omegafold,T1137s1,3,133.1273222343249,14.358661004778275,0.10785660496877407,124.51470321099625,149.7030343809747,133.1273222343249,14.358661004778275,0.10785660496877407,False
esmfold,T1266,3,55.503818149367966,5.9349715466401305,0.10692906802678608,51.83333914200193,62.3510009041056,55.503818149367966,5.9349715466401305,0.10692906802678608,False
esmfold,T1272s3,3,54.06945443801427,5.660302388248503,0.1046857684635514,50.58564561700041,60.60054773604497,54.06945443801427,5.660302388248503,0.1046857684635514,False
omegafold,T1137s7,3,393.62010357832577,40.95872679128532,0.1040564910657187,368.82520652899984,440.8963007989805,393.62010357832577,40.95872679128532,0.1040564910657187,False
omegafold,T1157s2,3,200.51817209566798,20.783131234443225,0.10364712094287153,188.0870593679865,224.51121762901312,200.51817209566798,20.783131234443225,0.10364712094287153,False
esmfold,T1137s2,3,55.74299804237429,5.7325509319506205,0.10283894180920972,52.176449863000016,62.35555165912956,55.74299804237429,5.7325509319506205,0.10283894180920972,False
omegafold,T1129s2,3,347.5001258346795,35.13858645087298,0.10111819777466753,326.41896923299646,388.0641763700405,347.5001258346795,35.13858645087298,0.10111819777466753,False
